intent,text
cari_buku,Ada buku jaringan komputer gak?
cari_buku,Ada buku pemrograman web?
cari_buku,Ada buku tentang struktur data gak?
cari_buku,Ada buku?
cari_buku,Ada fitur buat nyari buku gak?
cari_buku,Ada fitur find book di sini gak?
cari_buku,Ada gak buku AI yang pemula friendly?
cari_buku,Ada menu buat cari buku?
cari_buku,Ada menu buat hunting buku nggak?
cari_buku,Ada opsi buat nyari buku gak sih?
cari_buku,Ada rekomendasi buku sistem operasi?
cari_buku,Ada search bar buat buku nggak?
cari_buku,Ada yang bisa bantuin cari buku?
cari_buku,Akses buku.
cari_buku,"Bang, bantu cari buku ya."
cari_buku,Bisa bantu cari buku?
cari_buku,Bisa bantu gw track buku ga?
cari_buku,Bisa bantu temukan buku?
cari_buku,Bisa cari buku?
cari_buku,Bisa gak nyari buku lewat sini?
cari_buku,Bisa tolong bantuin cari buku?
cari_buku,Bisa tolong search-in buku?
cari_buku,Boleh cari buku di sini?
cari_buku,Boleh cari buku pemrograman Java?
cari_buku,"Boleh dong, bantu gw cari buku."
cari_buku,"Bro, bisa bantuin cari buku gak?"
cari_buku,Browse buku.
cari_buku,Buka buku.
cari_buku,Buka list buku.
cari_buku,Buku ada?
cari_buku,Buku bisa dicari lewat sini?
cari_buku,Buku deep learning tersedia?
cari_buku,Buku di mana?
cari_buku,Buku dong.
cari_buku,Buku mana?
cari_buku,Buku please.
cari_buku,Buku tentang big data ada kah
cari_buku,Buku web development yang bagus ada?
cari_buku,Butuh buku.
cari_buku,"Cari buku dulu ya, boleh kan?"
cari_buku,"Cari buku python, ada gak?"
cari_buku,"Cari buku yuk, siapa tau nemu yang pas."
cari_buku,Cari buku.
cari_buku,Cariin buku coding dong.
cari_buku,Cariin buku tentang blockchain dong.
cari_buku,"Cariin buku, dong."
cari_buku,Cariin buku.
cari_buku,Cariin dong buku keamanan siber.
cari_buku,Cek buku.
cari_buku,"Cuy, gw butuh buku nih, help dong."
cari_buku,"Euy, mau baca-baca, cariin buku atuh."
cari_buku,Gimana cara nyari buku di sini?
cari_buku,Gimana caranya browsing buku di sini?
cari_buku,Gw cari buku.
cari_buku,Gw mau nyari buku nih.
cari_buku,Gw pengen cari buku pemrograman dasar.
cari_buku,Ketik buku.
cari_buku,Lacak buku.
cari_buku,Lagi butuh buku buat belajar SQL.
cari_buku,"Lagi butuh buku buat tugas, bisa bantu cari?"
cari_buku,"Lagi butuh referensi, cari buku yuk."
cari_buku,"Lagi cari buku, gimana caranya?"
cari_buku,"Lagi nyari buku nih, bisa dibantu?"
cari_buku,Lagi nyari buku tentang algoritma.
cari_buku,Lagi nyari buku UI/UX design.
cari_buku,"Lagi pengen baca, bisa cari buku di sini?"
cari_buku,Liat buku.
cari_buku,Mau buku.
cari_buku,Mau cari buku tentang data science.
cari_buku,Mau cari buku tentang machine learning.
cari_buku,Mau cari-cari buku dulu nih.
cari_buku,Mau cek-cek buku dulu nih.
cari_buku,Mau liat buku tentang cloud computing.
cari_buku,Mau liat buku.
cari_buku,Mau liat-liat buku dulu ah.
cari_buku,"Mau lihat-lihat buku dulu, gimana caranya?"
cari_buku,"Mau nyari buku, bisa bantu?"
cari_buku,"Min, ada buku tentang IoT?"
cari_buku,"Min, ada fitur scan buku ga, eh maksudnya cari buku?"
cari_buku,"Min, bantuin cari buku dong."
cari_buku,"Min, books search aktif gak?"
cari_buku,"Min, buku komputer tersedia nggak?"
cari_buku,"Min, buku tentang teknologi terbaru di TI ada?"
cari_buku,"Min, cari buku bisa lewat sini ya?"
cari_buku,"Min, saya cari buku tentang analisis sistem."
cari_buku,"Min, tolong cariin buku basis data."
cari_buku,Minta buku.
cari_buku,"Minta tolong, saya mau cari buku."
cari_buku,Misi cari buku.
cari_buku,"Misi, numpang cari buku yak."
cari_buku,Nyari buku.
cari_buku,Pengen baca buku seputar keamanan jaringan.
cari_buku,Pengen cari buku programming mobile.
cari_buku,Pengen liat buku.
cari_buku,"Pengen nyari buku tapi males ribet, ada cara gampang gak?"
cari_buku,Pengin buku.
cari_buku,"Perlu buku nih, gimana cara nyarinya?"
cari_buku,"Punya buku AI nggak, min?"
cari_buku,Punya buku tentang rekayasa perangkat lunak?
cari_buku,Saya butuh bantuan buat nyari buku.
cari_buku,"Saya coba cari buku dulu, ya."
cari_buku,Saya ingin akses pencarian buku.
cari_buku,Saya ingin gunakan fitur cari buku.
cari_buku,Saya ingin mencari buku tentang pemrograman.
